eps,W
0.0,0.1038785693027375
0.1,0.10008318324607317
0.2,0.10048894850122726
0.30000000000000004,0.09763304132345672
0.4,0.09634605046570006
0.5,0.09368100002424423
0.6000000000000001,0.09333562872893582
0.7000000000000001,0.09080686018352764
0.8,0.08864112107697265
0.9,0.08814850771172836
1.0,0.0836942740993221
1.1,0.08525822435286179
1.2000000000000002,0.08309086520576131
1.3,0.08105175983724207
1.4000000000000001,0.0791222920495994
1.5,0.07836029042511922
1.6,0.07927763247412498
1.7000000000000002,0.07498923553470814
1.8,0.07655216184634737
1.9000000000000001,0.07338429547199764
2.0,0.07185171129695936
2.1,0.07214671593866577
2.2,0.06836833704675802
2.3000000000000003,0.0684886473989703
2.4000000000000004,0.06688162167152498
2.5,0.06621049179368366
2.6,0.06463979330798972
2.7,0.06447394065642574
2.8000000000000003,0.06313477872225377
2.9000000000000004,0.060295785215231226
3.0,0.06437189730997582
3.1,0.0595229714834037
3.2,0.058457228336023084
3.3000000000000003,0.059069062959039534
3.4000000000000004,0.06046600570108398
3.5,0.05678650052872927
3.6,0.05596780384585642
3.7,0.05538503847942657
3.8000000000000003,0.056734097172352296
3.9000000000000004,0.05601998614018741
4.0,0.05369544152639271
4.1000000000000005,0.05638703948829447
4.2,0.05194318614361971
4.3,0.053179688861184245
4.4,0.054282640294061844
4.5,0.051811435846171525
4.6000000000000005,0.0552987812236716
4.7,0.05235019156844427
4.800000000000001,0.0539791004193385
4.9,0.04992565057050314
5.0,0.05327008504354794
